team1,team2,Possession in contest, Goals team1,Goals team2,Total attempts team1,Total attempts team2,Goal preventions team1,Goal preventions team2
QATAR,ECUADOR,8%,0,2,5,6,6,5
ENGLAND,IRAN,9%,6,2,13,8,8,13
SENEGAL,NETHERLANDS,11%,0,2,14,9,9,15
UNITED STATES,WALES,10%,1,1,6,7,7,7
ARGENTINA,SAUDI ARABIA,12%,1,2,14,3,4,14
DENMARK,TUNISIA,12%,0,0,11,11,11,11
MEXICO,POLAND,15%,0,0,13,8,8,15
FRANCE,AUSTRALIA,9%,4,1,22,4,4,22
MOROCCO,CROATIA,12%,0,0,8,6,7,8
GERMANY,JAPAN,13%,1,2,25,10,12,26
SPAIN,COSTA RICA,9%,7,0,17,0,0,17
BELGIUM,CANADA,11%,1,0,9,21,21,9
SWITZERLAND,CAMEROON,11%,1,0,8,7,7,8
URUGUAY,KOREA REPUBLIC,13%,0,0,10,6,6,10
PORTUGAL,GHANA,10%,3,2,11,8,8,11
BRAZIL,SERBIA,13%,2,0,24,4,4,24
WALES,IRAN,16%,0,2,10,21,21,9
QATAR,SENEGAL,10%,1,3,10,12,12,11
NETHERLANDS,ECUADOR,13%,1,1,2,13,14,2
ENGLAND,UNITED STATES,9%,0,0,8,10,10,8
TUNISIA,AUSTRALIA,19%,0,1,13,8,9,13
POLAND,SAUDI ARABIA,14%,2,0,8,16,16,9
FRANCE,DENMARK,12%,2,1,21,10,10,21
ARGENTINA,MEXICO,14%,2,0,5,4,4,5
JAPAN,COSTA RICA,13%,0,1,14,4,4,14
BELGIUM,MOROCCO,12%,0,2,10,11,11,10
CROATIA,CANADA,13%,4,1,13,9,9,13
SPAIN,GERMANY,11%,1,1,7,10,11,7
CAMEROON,SERBIA,13%,3,3,13,16,16,13
KOREA REPUBLIC,GHANA,15%,2,3,21,8,8,21
BRAZIL,SWITZERLAND,9%,1,0,9,4,4,9
PORTUGAL,URUGUAY,12%,2,0,14,10,11,14
NETHERLANDS,QATAR,8%,2,0,13,6,5,14
ECUADOR,SENEGAL,17%,1,2,8,15,15,8
WALES,ENGLAND,10%,0,3,7,17,17,8
IRAN,UNITED STATES,13%,0,1,6,12,13,6
AUSTRALIA,DENMARK,16%,1,0,8,14,14,8
TUNISIA,FRANCE,14%,1,0,5,9,11,6
POLAND,ARGENTINA,9%,0,2,4,25,25,4
SAUDI ARABIA,MEXICO,17%,1,2,10,25,26,10
CROATIA,BELGIUM,10%,0,0,11,15,16,11
CANADA,MOROCCO,12%,1,2,5,7,7,7
JAPAN,SPAIN,8%,2,1,6,14,14,6
COSTA RICA,GERMANY,13%,2,4,8,32,32,8
GHANA,URUGUAY,15%,0,2,9,12,12,9
KOREA REPUBLIC,PORTUGAL,11%,2,1,12,12,14,12
SERBIA,SWITZERLAND,14%,2,3,11,14,14,10
CAMEROON,BRAZIL,13%,1,0,7,19,20,7
NETHERLANDS,UNITED STATES,13%,3,1,11,18,18,13
ARGENTINA,AUSTRALIA,12%,2,1,14,5,5,14
FRANCE,POLAND,10%,3,1,16,11,11,16
ENGLAND,SENEGAL,11%,3,0,8,10,10,8
JAPAN,CROATIA,14%,1,1,12,16,18,11
BRAZIL,KOREA REPUBLIC,9%,4,1,18,10,10,18
MOROCCO,SPAIN,10%,0,0,6,13,14,6
PORTUGAL,SWITZERLAND,9%,6,1,14,10,10,15
CROATIA,BRAZIL,10%,1,1,9,20,21,9
NETHERLANDS,ARGENTINA,11%,2,2,5,15,15,5
MOROCCO,PORTUGAL,13%,1,0,9,11,11,10
ENGLAND,FRANCE,10%,1,2,14,9,9,15
ARGENTINA,CROATIA,12%,3,0,10,12,12,10
FRANCE,MOROCCO,11%,2,0,14,13,13,14
CROATIA,MOROCCO,10%,2,1,14,7,7,14
ARGENTINA,FRANCE,14%,3,3,21,10,11,21
